Centorid_representative_sequence	Cluster_Bin_ID	dRep_Genome_Rank	Bin_Taxonomy	NCBI_Taxonomy	KO	Final_Taxonomy
Ga0307119_1127286950	Bryobacter_all_coassembly_Metabat_Bin100.fa	Winning_Genome	Proteobacteria CoA8 M100	NA	rpoB	Proteobacteria CoA8 M100
Ga0307119_120906949	Bryobacter_all_coassembly_Metabat_Bin100.fa	Winning_Genome	Proteobacteria CoA8 M100	NA	katG	Proteobacteria CoA8 M100
Ga0071351_100081917	Bryobacter_all_coassembly_Metabat_Bin7.fa	Winning_Genome	Pseudanabaena	Pseudanabaena	ahpC	Pseudanabaena
Ga0307118_15681337	Bryobacter_all_coassembly_Metabat_Bin7.fa	Winning_Genome	Pseudanabaena	Pseudanabaena	rpoB	Pseudanabaena
Ga0071351_10011908	Sample_42896_22.2.fa	Losing_Genome	Pseudanabaena	Pseudanabaena	rpoB	Pseudanabaena
Ga0071351_10012752	Sample_42896_megahit_Metabat_Bin3.fa	Winning_Genome	Pseudanabaena	Pseudanabaena	ahpC	Pseudanabaena
Ga0114337_10032923	Sample_42896_megahit_Metabat_Bin3.fa	Winning_Genome	Pseudanabaena	Pseudanabaena	rpoB	Pseudanabaena
Ga0226817_104988501	Not Binned	NA	Unassigned	Pseudanabaena	ahpC	Pseudanabaena
Ga0226667_11430321	Not Binned	NA	Unassigned	Pseudanabaena	ahpC	Pseudanabaena
Ga0226823_1038581	Not Binned	NA	Unassigned	Pseudanabaena	ahpC	Pseudanabaena
Ga0114356_10026593	Not Binned	NA	Unassigned	Pseudanabaena	rpoB	Pseudanabaena
Ga0114338_100034720	Sample_42896_53600_coassembly_CONCOCT_Bin13.fa	Winning_Genome	Rhizobiales CoA2 C13	Methylobacterium	rpoB	Rhizobiales CoA2 C13
Ga0307118_10838431	Sample_42896_53600_coassembly_CONCOCT_Bin13.fa	Winning_Genome	Rhizobiales CoA2 C13	NA	katG	Rhizobiales CoA2 C13
Ga0114338_10012166	Sample_49615_13.fa	Losing_Genome	Rhizobiales CoA2 C13	NA	katG	Rhizobiales CoA2 C13
Ga0114347_100142812	Sample_49624_8.fa	Winning_Genome	Rhodobacter	Tabrizicola	rpoB	Rhodobacter
Ga0071351_10094371	Sample_42896_5.fa	Losing_Genome	Rhodobacteraceae 49625 E6	NA	katG	Rhodobacteraceae 49625 E6
Ga0114338_10028481	Sample_49615_6.fa	Losing_Genome	Rhodobacteraceae 49625 E6	NA	rpoB	Rhodobacteraceae 49625 E6
Ga0114338_10079271	Sample_49615_6.fa	Losing_Genome	Rhodobacteraceae 49625 E6	NA	katG	Rhodobacteraceae 49625 E6
Ga0114348_10018795	Sample_49625_6.fa	Winning_Genome	Rhodobacteraceae 49625 E6	NA	katG	Rhodobacteraceae 49625 E6
Ga0114341_100837851	Not Binned	NA	Unassigned	Rhodoferax	ahpC	Rhodoferax
Ga0114347_100076917	Sample_49624_59.fa	Winning_Genome	Rickettsiaceae 49624 E59	NA	ahpC	Rickettsiaceae 49624 E59
Ga0114347_100052021	Sample_49624_59.fa	Winning_Genome	Rickettsiaceae 49624 E59	NA	rpoB	Rickettsiaceae 49624 E59
Ga0226817_100045951	Sample_49633_10.fa	Losing_Genome	Rickettsiaceae 49624 E59	NA	rpoB	Rickettsiaceae 49624 E59
Ga0114354_10001255	Sample_49632_25.fa	Winning_Genome	Rickettsiales 49632 E25	NA	ahpC	Rickettsiales 49632 E25
Ga0307117_12565673	Bryobacter_all_coassembly_Metabat_Bin105.1.fa	Winning_Genome	Rickettsiales CoA8 M15	NA	ahpC	Rickettsiales CoA8 M15
Ga0307119_1201443810	Bryobacter_all_coassembly_Metabat_Bin105.1.fa	Winning_Genome	Rickettsiales CoA8 M15	NA	rpoB	Rickettsiales CoA8 M15
Ga0307118_15836543	Bryobacter_all_coassembly_Metabat_Bin105.1.fa	Winning_Genome	Rickettsiales CoA8 M15	NA	katG	Rickettsiales CoA8 M15
Ga0365732_0852232_12193_12648	Bryobacter_all_normalized_coassembly_VizBin_Bin6.1.fa	Losing_Genome	Rickettsiales CoA8_M105	NA	ahpC	Rickettsiales CoA8_M105
Ga0365732_1016008_2_583	Bryobacter_all_normalized_coassembly_VizBin_Bin6.1.fa	Losing_Genome	Rickettsiales CoA8_M105	NA	ahpC	Rickettsiales CoA8_M105
Ga0365732_1154570_4321_7395	Bryobacter_all_normalized_coassembly_VizBin_Bin6.1.fa	Losing_Genome	Rickettsiales CoA8_M105	NA	rpoB	Rickettsiales CoA8_M105
Ga0365732_0537321_1_1812	Bryobacter_all_normalized_coassembly_VizBin_Bin6.1.fa	Losing_Genome	Rickettsiales CoA8_M105	NA	katG	Rickettsiales CoA8_M105
Ga0071351_10101433	Bryobacter_all_normalized_coassembly_Metabat_Bin8.fa	Winning_Genome	Rickettsiales SM2D12 CoA8N M8	NA	ahpC	Rickettsiales SM2D12 CoA8N M8
Ga0307119_1239735211	Bryobacter_all_normalized_coassembly_Metabat_Bin8.fa	Winning_Genome	Rickettsiales SM2D12 CoA8N M8	NA	rpoB	Rickettsiales SM2D12 CoA8N M8
Ga0114347_10898802	Sample_49636_6.fa	Winning_Genome	Rubrivivax 49636 E6	NA	ahpC	Rubrivivax 49636 E6
Ga0114359_10006939	Sample_49636_6.fa	Winning_Genome	Rubrivivax 49636 E6	NA	rpoB	Rubrivivax 49636 E6
Ga0114347_10169312	Sample_49636_6.fa	Winning_Genome	Rubrivivax 49636 E6	NA	katG	Rubrivivax 49636 E6
Ga0114359_10001848	Sample_49636_6.fa	Winning_Genome	Rubrivivax 49636 E6	NA	katG	Rubrivivax 49636 E6
Ga0226667_10025614	Sample_53601_5.fa	Winning_Genome	Rubrivivax 53601 E5	NA	ahpC	Rubrivivax 53601 E5
Ga0365732_1683238_4198_8394	Sample_53601_5.fa	Winning_Genome	Rubrivivax 53601 E5	NA	rpoB	Rubrivivax 53601 E5
Ga0226667_10000887	Sample_53601_5.fa	Winning_Genome	Rubrivivax 53601 E5	NA	katG	Rubrivivax 53601 E5
Ga0114348_10007403	Bryobacter_all_normalized_coassembly_Metabat_Bin83.fa	Losing_Genome	Rubrivivax COA2 C44	NA	rpoB	Rubrivivax COA2 C44
Ga0365732_0489144_965_4801	Bryobacter_all_normalized_coassembly_Metabat_Bin85.fa	Losing_Genome	Rubrivivax COA2 C44	NA	rpoB	Rubrivivax COA2 C44
Ga0365732_0652464_3_1889	Bryobacter_all_normalized_coassembly_Metabat_Bin85.fa	Losing_Genome	Rubrivivax COA2 C44	NA	katG	Rubrivivax COA2 C44
Ga0071351_10096491	Sample_42896_53600_coassembly_CONCOCT_Bin44.1.fa	Winning_Genome	Rubrivivax CoA2 C44	NA	katG	Rubrivivax CoA2 C44
Ga0307117_13460862	Sample_42896_53600_coassembly_CONCOCT_Bin48.1.fa	Winning_Genome	Rubrivivax CoA2 C48	NA	ahpC	Rubrivivax CoA2 C48
Ga0307118_17229831	Sample_42896_53600_coassembly_CONCOCT_Bin48.1.fa	Winning_Genome	Rubrivivax CoA2 C48	NA	rpoB	Rubrivivax CoA2 C48
Ga0307118_16978875	Sample_42896_53600_coassembly_CONCOCT_Bin48.1.fa	Winning_Genome	Rubrivivax CoA2 C48	NA	katG	Rubrivivax CoA2 C48
Ga0226666_10017123	Bryobacter_all_coassembly_Metabat_Bin36.fa	Losing_Genome	Rubrivivax CoA2 C53	NA	ahpC	Rubrivivax CoA2 C53
Ga0307119_1301200717	Bryobacter_all_coassembly_Metabat_Bin36.fa	Losing_Genome	Rubrivivax CoA2 C53	NA	katG	Rubrivivax CoA2 C53
Ga0307118_13781652	Sample_42896_53600_coassembly_CONCOCT_Bin53.fa	Winning_Genome	Rubrivivax CoA2 C53	NA	CCP	Rubrivivax CoA2 C53
Ga0226666_10008639	Sample_42896_53600_coassembly_CONCOCT_Bin53.fa	Winning_Genome	Rubrivivax CoA2 C53	NA	rpoB	Rubrivivax CoA2 C53
Ga0114337_100274711	Sample_49614_9.fa	Winning_Genome	Saprospiraceae 49614 E9	NA	rpoB	Saprospiraceae 49614 E9
Ga0114337_10055202	Sample_49614_9.fa	Winning_Genome	Saprospiraceae 49614 E9	NA	katG	Saprospiraceae 49614 E9
Ga0114337_100849610	Sample_49614_60.fa	Losing_Genome	Saprospiraceae 49618 E65	NA	rpoB	Saprospiraceae 49618 E65
Ga0114341_1000251614	Sample_49618_65.fa	Winning_Genome	Saprospiraceae 49618 E65	NA	rpoB	Saprospiraceae 49618 E65
Ga0114347_10014302	Sample_49624_15.fa	Winning_Genome	Saprospiraceae 49624 E15	NA	rpoB	Saprospiraceae 49624 E15
Ga0114351_10350567	Sample_49628_56.fa	Losing_Genome	Saprospiraceae 49624 E15	NA	katG	Saprospiraceae 49624 E15
Ga0307119_1114423313	Bryobacter_all_coassembly_Metabat_Bin65.fa	Winning_Genome	Sediminibacterium	NA	rpoB	Sediminibacterium
Ga0307119_120069853	Bryobacter_all_coassembly_Metabat_Bin65.fa	Winning_Genome	Sediminibacterium	NA	katG	Sediminibacterium
Ga0114336_10096687	Sample_49613_75.1.fa	Winning_Genome	Sediminibacterium	NA	katG	Sediminibacterium
Ga0114336_10178175	Sample_49614_65.1.fa	Winning_Genome	Sediminibacterium	NA	ahpC	Sediminibacterium
Ga0114337_10002035	Sample_49614_65.1.fa	Winning_Genome	Sediminibacterium	Sediminibacterium	rpoB	Sediminibacterium
Ga0114344_100070622	Sample_49621_32.1.fa	Losing_Genome	Sediminibacterium	NA	ahpC	Sediminibacterium
Ga0114841_10008407	Sample_49638_23.fa	Winning_Genome	Sediminibacterium	NA	katG	Sediminibacterium
Ga0114351_10126141	Not Binned	NA	Unassigned	Sediminibacterium	rpoB	Sediminibacterium
Ga0114354_10221361	Not Binned	NA	Unassigned	Sediminibacterium	rpoB	Sediminibacterium
Ga0114841_10124142	Not Binned	NA	Unassigned	Sediminibacterium	rpoB	Sediminibacterium
Ga0307117_13141615	Sample_42896_53600_coassembly_CONCOCT_Bin42.fa	Winning_Genome	Solibacteraceae CoA2 C42	Acidobacteriia 12-62-4	ahpC	Solibacteraceae CoA2 C42
Ga0071351_10012512	Sample_42896_53600_coassembly_CONCOCT_Bin42.fa	Winning_Genome	Solibacteraceae CoA2 C42	NA	rpoB	Solibacteraceae CoA2 C42
Ga0365732_1248220_2999_5215	Sample_42896_53600_coassembly_CONCOCT_Bin42.fa	Winning_Genome	Solibacteraceae CoA2 C42	NA	katG	Solibacteraceae CoA2 C42
Ga0114336_10266831	Not Binned	NA	Unassigned	Spartobacteria	rpoB	Spartobacteria
Ga0114336_10118412	Not Binned	NA	Unassigned	Spartobacteria	rpoB	Spartobacteria
Ga0114341_100275882	Not Binned	NA	Unassigned	Spartobacteria	rpoB	Spartobacteria
Ga0114341_100131971	Not Binned	NA	Unassigned	Spartobacteria	rpoB	Spartobacteria
Ga0114336_1000003115	Not Binned	NA	Unassigned	Sphingobacteriaceae	rpoB	Sphingobacteriaceae
Ga0114341_10000001232	Sample_49618_60.fa	Winning_Genome	Sphingobacteriales 49618 E60	NA	ahpC	Sphingobacteriales 49618 E60
Ga0114341_10000001405	Sample_49618_60.fa	Winning_Genome	Sphingobacteriales 49618 E60	NA	rpoB	Sphingobacteriales 49618 E60
Ga0114347_100062322	Sample_49624_34.fa	Winning_Genome	Sphingobacteriales 49624 E34	Bacteroidetes bacterium B1	rpoB	Sphingobacteriales 49624 E34
Ga0114347_100017424	Sample_49624_34.fa	Winning_Genome	Sphingobacteriales 49624 E34	NA	CCP	Sphingobacteriales 49624 E34
Ga0114347_10002862	Sample_49624_34.fa	Winning_Genome	Sphingobacteriales 49624 E34	NA	CCP	Sphingobacteriales 49624 E34
Ga0114347_100185522	Sample_49624_34.fa	Winning_Genome	Sphingobacteriales 49624 E34	NA	ahpC	Sphingobacteriales 49624 E34
Ga0114347_100016342	Sample_49624_34.fa	Winning_Genome	Sphingobacteriales 49624 E34	NA	katG	Sphingobacteriales 49624 E34
Ga0114351_10004992	Sample_49628_20.fa	Losing_Genome	Sphingobacteriales 49624 E34	NA	CCP	Sphingobacteriales 49624 E34
Ga0114351_10024924	Sample_49628_20.fa	Losing_Genome	Sphingobacteriales 49624 E34	NA	katG	Sphingobacteriales 49624 E34
Ga0114336_100180718	Sample_49613_9.fa	Winning_Genome	Sphingobacteriales AKYH767 49613 E9	NA	rpoB	Sphingobacteriales AKYH767 49613 E9
Ga0114336_100006160	Sample_49613_9.fa	Winning_Genome	Sphingobacteriales AKYH767 49613 E9	NA	katG	Sphingobacteriales AKYH767 49613 E9
Ga0114338_100093816	Bryobacter_all_coassembly_VizBin_Bin48.fa	Winning_Genome	Sphingobacteriales CoA8 V48	NA	rpoB	Sphingobacteriales CoA8 V48
Ga0114338_10002543	Bryobacter_all_coassembly_VizBin_Bin48.fa	Winning_Genome	Sphingobacteriales CoA8 V48	NA	katG	Sphingobacteriales CoA8 V48
Ga0114336_10753022	Sample_49628_11.fa	Winning_Genome	Sphingomonadaceae 49628 E11	NA	ahpC	Sphingomonadaceae 49628 E11
Ga0114341_102171292	Sample_49628_11.fa	Winning_Genome	Sphingomonadaceae 49628 E11	Sphingomonadales bacterium 35-56-22	ahpC	Sphingomonadaceae 49628 E11
Ga0114347_1000010400	Sample_49628_11.fa	Winning_Genome	Sphingomonadaceae 49628 E11	Sphingomonadales bacterium 35-56-22	rpoB	Sphingomonadaceae 49628 E11
Ga0114337_10078472	Sample_49614_53.fa	Winning_Genome	Sphingomonadales 49614 E53	NA	rpoB	Sphingomonadales 49614 E53
Ga0114354_10039847	Not Binned	NA	Unassigned	Sphingomonadales bacterium 28-55-16	ahpC	Sphingomonadales bacterium 28-55-16
Ga0114351_15463071	Not Binned	NA	Unassigned	Sphingomonadales bacterium 28-55-16	ahpC	Sphingomonadales bacterium 28-55-16
Ga0114337_11156021	Not Binned	NA	Unassigned	Sphingomonadales bacterium 35-56-22	ahpC	Sphingomonadales bacterium 35-56-22
Ga0114354_10020737	Not Binned	NA	Unassigned	Sphingomonadales bacterium 35-56-22	katG	Sphingomonadales bacterium 35-56-22
Ga0114336_100897310	Not Binned	NA	Unassigned	Synechococcus	ahpC	Cyanobium / Synechococcus
Ga0226810_10636312	Not Binned	NA	Unassigned	Synechococcus	ahpC	Cyanobium / Synechococcus
Ga0114344_11609691	Not Binned	NA	Unassigned	Synechococcus	ahpC	Cyanobium / Synechococcus
Ga0114341_102266652	Not Binned	NA	Unassigned	Synechococcus	ahpC	Cyanobium / Synechococcus
Ga0114336_10174101	Not Binned	NA	Unassigned	Synechococcus	rpoB	Cyanobium / Synechococcus
Ga0307119_124474495	Not Binned	NA	Unassigned	Synechococcus	rpoB	Cyanobium / Synechococcus
Ga0114336_10067222	Not Binned	NA	Unassigned	Teleaulax plastid	rpoB	Teleaulax plastid
Ga0114336_10019237	Not Binned	NA	Unassigned	Teleaulax plastid	rpoB	Teleaulax plastid
Ga0114351_100015243	Not Binned	NA	Unassigned	Teleaulax plastid	rpoB	Teleaulax plastid
Ga0114341_100273481	Not Binned	NA	Unassigned	Teleaulax plastid	rpoB	Teleaulax plastid
Ga0114347_10365641	Sample_49621_30.fa	Losing_Genome	Terrimonas	NA	katG	Terrimonas
Ga0114337_100364817	Sample_49632_12.fa	Winning_Genome	Terrimonas	NA	rpoB	Terrimonas
Ga0114354_100014114	Sample_49632_12.fa	Winning_Genome	Terrimonas	NA	katG	Terrimonas
Ga0114354_10040982	Not Binned	NA	Unassigned	Thalassiosira chloroplast	ahpC	Thalassiosira chloroplast
Ga0114354_10008376	Not Binned	NA	Unassigned	Thalassiosira chloroplast	rpoB	Thalassiosira chloroplast
Ga0307119_104190272	Not Binned	NA	Unassigned	Unassigned	katG	Unassigned
Ga0114341_103728041	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0307118_11381032	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114361_10057345	Not Binned	NA	Unassigned	Unassigned	APX	Unassigned
Ga0114336_10079873	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0307119_119304463	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0365732_0309703_351_1958	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114359_10737052	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_10625792	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_100077629	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114354_10425182	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0365732_0309108_402_2159	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114354_10702464	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0307119_113581602	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0226807_10154573	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_100019453	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114354_10620352	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_1000006230	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_100148773	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_10072195	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0226810_10956091	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0307119_117531212	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_100821241	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114351_100459314	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0307119_137587311	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114347_10168182	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114344_10648951	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_101355433	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_10354272	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114336_10403202	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0226809_10298111	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_11541153	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114351_10935781	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_10269064	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_101530462	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0226807_10543881	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_100408953	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114354_10645592	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0307119_118509831	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_102347481	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_100025663	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114347_10772332	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_100141422	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_10921391	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114347_10313652	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114841_10495412	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114336_10757752	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_10387555	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_1000275916	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114354_10016046	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_101214633	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_10072653	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_101515322	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_100261492	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114347_100883610	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114341_100801091	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114347_10104755	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114347_10337923	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114354_100029921	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114351_11524901	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_11240152	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114336_10090183	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0226667_10281531	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114336_1000007201	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114338_11079151	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0226807_10354111	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114354_10188433	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114337_10000568	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0114347_10927802	Not Binned	NA	Unassigned	Unassigned	CCP	Unassigned
Ga0307119_134147485	Not Binned	NA	Unassigned	Unassigned	katE	Unassigned
Ga0114347_11596832	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114354_10103662	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114354_10593442	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114348_10270732	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114354_10321462	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114336_10034285	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114341_101311833	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0226807_10651442	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114341_102526101	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114337_10347513	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0307119_120384131	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0307119_108162861	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114337_11253382	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114347_11504862	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114341_101749362	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114354_10165944	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114354_12491971	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114341_102784511	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114347_10318912	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114337_10029718	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0365732_1095377_3_512	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0307119_114677601	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0365732_1350081_407_868	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114337_10589422	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114341_106935191	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0226668_10350651	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114341_100570076	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0307119_111140627	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114841_10638752	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114351_13807521	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0226807_10217485	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114841_10300211	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114347_11347731	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114354_100033130	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0307118_11243852	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114341_102149672	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114336_12061232	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114341_100219601	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114336_13774311	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114348_100010928	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114841_11090952	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114347_12246251	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114347_10217632	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114341_104684171	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114841_11025312	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0307119_116576252	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114337_10089214	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0307118_13631621	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0226813_10001512	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114345_10985762	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114354_11204181	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0307119_136970612	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114336_10672972	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114336_10008646	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114341_100020456	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0365732_1415578_1019_1513	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114344_11734641	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0307119_101616538	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114336_11695922	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114354_10038566	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114348_10040406	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114351_11575792	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114354_10850651	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114841_100006190	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114341_101700242	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114359_10495501	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0071351_10633081	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114336_10160361	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114336_10203801	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114336_10730982	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0307119_133806183	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0365732_1461078_1_495	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
Ga0114337_10776981	Not Binned	NA	Unassigned	Unassigned	ahpC	Unassigned
